Java_App,C_App,C#_App,C++_App,Python_App,Ruby_App,Perl_App,ObjC_App,VB.NET_App,Haskell,Swift,Lisp,JavaScript,Scala
3<,<3,NONE,3<,<3,NONE,NONE,<3,3<,NONE,NONE,NONE,NA,NA
3<,NONE,NONE,3<,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NA,NA
<3,NONE,NONE,NONE,NONE,NONE,NONE,NONE,3<,NONE,NONE,NONE,NA,NA
<3,<3,NONE,<3,<3,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NA,NA
3<,3<,3<,3<,3<,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NA,NA
<3,NONE,NONE,<3,<3,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NA,NA
3<,NONE,3<,3<,3<,NONE,NONE,NONE,<3,NONE,NONE,NONE,3<,NA
3<,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NA,NA
3<,NONE,NONE,3<,<3,NONE,NONE,NONE,<3,NONE,NONE,NONE,NA,NA
<3,NONE,NONE,<3,NONE,NONE,NONE,NONE,3<,NONE,NONE,NONE,NA,NA
3<,3<,<3,3<,NONE,NONE,NONE,NONE,<3,NONE,NONE,NONE,NA,NA
3<,<3,NONE,3<,<3,NONE,NONE,NONE,3<,NONE,NONE,NONE,NA,NA
3<,NONE,3<,<3,NONE,NONE,NONE,NONE,3<,NONE,NONE,NONE,NA,NA
3<,NONE,NONE,3<,3<,<3,NONE,NONE,3<,NONE,NONE,NONE,NA,3<
3<,3<,NONE,3<,3<,NONE,3<,NONE,NONE,<3,NONE,3<,NA,NA
<3,NONE,NONE,3<,<3,NONE,NONE,NONE,3<,NONE,NONE,NONE,NA,NA
3<,<3,NONE,3<,NONE,NONE,NONE,NONE,<3,NONE,NONE,NONE,NA,NA
3<,NONE,NONE,3<,NONE,NONE,NONE,NONE,3<,NONE,NONE,NONE,NA,NA
