SQL_DB,R_DB,Python_DB,MAT_DB,Oracle_DB,SAS_DB,Scala_DB,Mongo_DB,MySQL,JavaScript,HiveQL,Impala,Lisp
<3,NONE,<3,NONE,NONE,NONE,NONE,NA,NA,NA,NA,NA,NA
3<,NONE,NONE,NONE,NONE,NONE,NONE,NA,NA,NA,NA,NA,NA
NONE,3<,NONE,NONE,<3,NONE,NONE,NA,NA,NA,NA,NA,NA
<3,3<,<3,<3,NONE,NONE,NONE,NA,NA,NA,NA,NA,NA
<3,NONE,3<,NONE,<3,NONE,NONE,3<,NA,NA,NA,NA,NA
<3,<3,<3,<3,NONE,NONE,NONE,NA,NA,NA,NA,NA,NA
3<,NONE,3<,NONE,NONE,NONE,NONE,NA,NA,NA,NA,NA,NA
3<,NONE,<3,NONE,NONE,NONE,NONE,NA,NA,NA,NA,NA,NA
<3,3<,NONE,NONE,NONE,<3,NONE,NA,NA,NA,NA,NA,NA
<3,<3,NONE,NONE,NONE,NONE,NONE,NA,NA,NA,NA,NA,NA
<3,<3,NONE,NONE,<3,NONE,NONE,NA,NA,NA,NA,NA,NA
3<,NONE,<3,NONE,<3,NONE,NONE,NA,<3,<3,NA,NA,NA
3<,NONE,NONE,<3,<3,NONE,NONE,NA,NA,NA,NA,NA,NA
3<,3<,3<,NONE,3<,NONE,3<,NA,NA,NA,3<,3<,NA
3<,NONE,<3,NONE,NONE,NONE,NONE,3<,NA,NA,NA,NA,3<
<3,NONE,NONE,NONE,<3,NONE,NONE,NA,NA,NA,NA,NA,NA
3<,3<,NONE,3<,3<,NONE,NONE,NA,NA,NA,NA,NA,NA
3<,3<,NONE,NONE,<3,NONE,NONE,NA,NA,NA,NA,NA,NA
